type,name,res_id,src,value,fuzzy
model,"ir.action,name",act_google_translate,Google Translate,Google Translate,0
model,"ir.translation.google_translate.init,name",0,Translate with Google Init,Traduire avec Google - Init,0
model,"ir.translation.google_translate.start,name",0,Translate with Google Start,Traduire avec Google - Début,0
view,ir.translation.google_translate.init,0,Google Translate,Google Translate,0
view,ir.translation.google_translate.init,0,Translate with Google Translate?,Traduire avec Google Translate?,0
view,ir.translation.google_translate.start,0,Google Translate,Google Translate,0
view,ir.translation.google_translate.start,0,Translate Succeed!,Traduction réussie !,0
wizard_button,"ir.translation.google_translate,init,end",0,Cancel,Annuler,0
wizard_button,"ir.translation.google_translate,init,start",0,Start translate,Démarrer la traduction,0
wizard_button,"ir.translation.google_translate,start,end",0,Ok,Ok,0
